,tweet_id,retweet_count,favourite_count
0,861383897657036800,10127,34621
0,861288531465048066,3914,16490
0,861005113778896900,3611,16039
0,860981674716409858,2034,0
0,860924035999428608,760,0
0,860563773140209665,2034,7199
0,860524505164394496,5041,22717
0,860276583193509888,3325,17671
0,860184849394610176,5550,16058
0,860177593139703809,29360,0
0,859924526012018688,3902,18851
0,859851578198683649,3335,14849
0,859607811541651456,1487,17941
0,859196978902773760,28668,86610
0,859074603037188101,12972,32603
0,858860390427611136,7726,0
0,858843525470990336,3321,15034
0,858471635011153920,4633,20764
0,858107933456039936,2772,15214
0,857989990357356544,2480,15554
0,857746408056729600,10157,33126
0,857393404942143489,1572,5696
0,857263160327368704,4323,19409
0,857214891891077121,17,218
0,857062103051644929,163,0
0,857029823797047296,3817,18264
0,856543823941562368,2771,15830
0,856526610513747968,1801,11515
0,856330835276025856,646,0
0,856288084350160898,15,500
0,856282028240666624,6042,26932
0,855862651834028034,25,328
0,855860136149123072,940,4785
0,855857698524602368,2033,11534
0,855851453814013952,17366,44466
0,855818117272018944,5228,25924
0,855459453768019968,7927,29039
0,855245323840757760,5755,0
0,855138241867124737,43,0
0,854732716440526848,5861,22185
0,854482394044301312,6651,28600
0,854365224396361728,4540,18435
0,854120357044912130,7235,31249
0,854010172552949760,3055,15859
0,853760880890318849,5573,27938
0,853639147608842240,9753,33924
0,853299958564483072,3458,15159
0,852936405516943360,1940,0
0,852912242202992640,1765,8854
0,852672615818899456,2102,14609
0,852553447878664193,3383,15989
0,852311364735569921,9695,32538
0,852226086759018497,6682,19629
0,852189679701164033,1553,11257
0,851861385021730816,19,0
0,851591660324737024,3400,15998
0,851464819735769094,6901,23855
0,851224888060895234,5609,20347
0,850753642995093505,8941,30335
0,850380195714523136,2555,12904
0,850333567704068097,322,3406
0,850145622816686080,3716,16088
0,850019790995546112,4780,20125
0,849776966551130114,7448,30024
0,849668094696017920,4865,0
0,849412302885593088,3102,15660
0,849336543269576704,1867,11276
0,849051919805034497,8336,41815
0,848690551926992896,4246,24896
0,848324959059550208,4545,24425
